"datum";"bundesland_id";"bundesland_name";"versorgungsstufe";"faelle_covid_aktuell";"intensivbetten_frei";"intensivbetten_belegt";"anzahl_meldebereiche"
2023-04-09;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";249;1294;5737;466
2023-04-09;0;"Deutschland";"nicht angegeben";6;26;153;15
2023-04-08;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";313;1715;5643;757
2023-04-08;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";237;1299;5761;466
2023-04-08;0;"Deutschland";"nicht angegeben";6;27;153;15
2023-04-08;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";239;813;6402;276
2023-04-08;0;"Deutschland";"FACHKLINIK";15;98;677;69
2023-04-07;0;"Deutschland";"FACHKLINIK";14;101;696;70
2023-04-07;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";247;721;6518;277
2023-04-07;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";245;1138;5886;465
2023-04-07;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";331;1590;5775;754
2023-04-07;0;"Deutschland";"nicht angegeben";6;23;157;15
2023-04-06;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";247;1087;5993;468
2023-04-06;0;"Deutschland";"FACHKLINIK";18;103;724;72
2023-04-06;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";361;1504;5926;760
2023-04-06;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";252;707;6558;277
2023-04-06;0;"Deutschland";"nicht angegeben";6;19;163;15
2023-04-05;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";259;1112;5967;468
2023-04-05;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";370;1477;5951;759
2023-04-05;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";271;671;6640;276
2023-04-05;0;"Deutschland";"FACHKLINIK";22;108;723;72
2023-04-05;0;"Deutschland";"nicht angegeben";8;17;167;15
2023-04-04;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";276;1100;6015;470
2023-04-04;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";388;1471;6008;762
2023-04-04;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";272;722;6650;282
2023-04-04;0;"Deutschland";"nicht angegeben";7;17;167;15
2023-04-04;0;"Deutschland";"FACHKLINIK";24;104;724;72
2023-04-03;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";284;1157;5909;471
2023-04-03;0;"Deutschland";"FACHKLINIK";22;103;726;72
2023-04-03;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";398;1523;5904;763
2023-04-03;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";277;840;6549;282
2023-04-03;0;"Deutschland";"nicht angegeben";6;17;160;15
2023-04-02;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";304;1120;5903;471
2023-04-02;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";407;1490;5889;762
2023-04-02;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";293;854;6579;284
2023-04-02;0;"Deutschland";"FACHKLINIK";22;95;709;72
2023-04-02;0;"Deutschland";"nicht angegeben";9;19;162;14
2023-04-01;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";417;1454;5987;764
2023-04-01;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";310;1050;6032;469
2023-04-01;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";295;818;6711;285
2023-04-01;0;"Deutschland";"nicht angegeben";9;23;158;14
2023-04-01;0;"Deutschland";"FACHKLINIK";20;91;703;71
2023-03-31;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";408;1378;6128;766
2023-03-31;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";306;1049;6078;469
2023-03-31;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";321;731;6864;283
2023-03-31;0;"Deutschland";"FACHKLINIK";21;100;714;72
2023-03-31;0;"Deutschland";"nicht angegeben";8;19;162;14
2023-03-30;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";309;974;6224;468
2023-03-30;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";400;1403;6119;765
2023-03-30;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";324;710;6907;284
2023-03-30;0;"Deutschland";"FACHKLINIK";22;82;734;71
2023-03-30;0;"Deutschland";"nicht angegeben";7;18;163;14
2023-03-29;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";314;1023;6166;470
2023-03-29;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";325;695;6907;284
2023-03-29;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";411;1446;6100;765
2023-03-29;0;"Deutschland";"FACHKLINIK";23;84;717;71
2023-03-29;0;"Deutschland";"nicht angegeben";6;17;164;14
2023-03-28;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";428;1492;6017;764
2023-03-28;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";338;1044;6104;466
2023-03-28;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";325;739;6884;284
2023-03-28;0;"Deutschland";"FACHKLINIK";26;83;711;70
2023-03-28;0;"Deutschland";"nicht angegeben";5;16;165;14
2023-03-27;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";335;1185;5935;468
2023-03-27;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";465;1491;5915;765
2023-03-27;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";331;834;6740;285
2023-03-27;0;"Deutschland";"FACHKLINIK";34;92;704;69
2023-03-27;0;"Deutschland";"nicht angegeben";8;14;167;14
2023-03-26;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";432;1524;5806;765
2023-03-26;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";323;1158;5931;470
2023-03-26;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";350;788;6731;286
2023-03-26;0;"Deutschland";"FACHKLINIK";35;86;722;72
2023-03-26;0;"Deutschland";"nicht angegeben";7;15;163;14
2023-03-25;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";441;1357;6006;765
2023-03-25;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";339;1047;6066;470
2023-03-25;0;"Deutschland";"FACHKLINIK";37;84;732;72
2023-03-25;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";352;758;6802;284
2023-03-25;0;"Deutschland";"nicht angegeben";7;13;165;14
2023-03-24;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";440;1320;6105;764
2023-03-24;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";346;1015;6108;469
2023-03-24;0;"Deutschland";"FACHKLINIK";36;91;748;72
2023-03-24;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";364;678;6901;284
2023-03-24;0;"Deutschland";"nicht angegeben";4;14;165;14
2023-03-23;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";363;1027;6116;471
2023-03-23;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";361;671;6931;285
2023-03-23;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";462;1287;6216;765
2023-03-23;0;"Deutschland";"FACHKLINIK";35;85;755;72
2023-03-23;0;"Deutschland";"nicht angegeben";3;11;168;14
2023-03-22;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";382;1018;6137;470
2023-03-22;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";466;1303;6197;765
2023-03-22;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";351;715;6921;285
2023-03-22;0;"Deutschland";"FACHKLINIK";36;85;761;72
2023-03-22;0;"Deutschland";"nicht angegeben";4;13;168;14
2023-03-21;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";401;1041;6089;471
2023-03-21;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";496;1344;6150;766
2023-03-21;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";345;742;6897;285
2023-03-21;0;"Deutschland";"FACHKLINIK";34;86;758;72
2023-03-21;0;"Deutschland";"nicht angegeben";5;16;164;14
2023-03-20;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";377;1131;6035;472
2023-03-20;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";478;1430;6041;765
2023-03-20;0;"Deutschland";"FACHKLINIK";35;97;741;72
2023-03-20;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";326;754;6832;285
2023-03-20;0;"Deutschland";"nicht angegeben";5;11;166;14
2023-03-19;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";372;1105;5986;473
2023-03-19;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";469;1440;5929;765
2023-03-19;0;"Deutschland";"FACHKLINIK";34;98;719;72
2023-03-19;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";330;739;6782;286
2023-03-19;0;"Deutschland";"nicht angegeben";5;7;170;14
2023-03-18;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";377;1039;6109;473
2023-03-18;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";455;1403;6039;766
2023-03-18;0;"Deutschland";"nicht angegeben";5;9;168;14
2023-03-18;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";338;726;6850;287
2023-03-18;0;"Deutschland";"FACHKLINIK";36;88;730;72
2023-03-17;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";466;1290;6200;767
2023-03-17;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";374;987;6203;473
2023-03-17;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";343;691;6900;287
2023-03-17;0;"Deutschland";"FACHKLINIK";36;91;749;72
2023-03-17;0;"Deutschland";"nicht angegeben";5;12;166;14
2023-03-16;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";492;1282;6256;767
2023-03-16;0;"Deutschland";"nicht angegeben";4;9;171;14
2023-03-16;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";337;1027;6193;473
2023-03-16;0;"Deutschland";"FACHKLINIK";35;90;753;72
2023-03-16;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";351;728;6905;287
2023-03-15;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";465;1323;6203;766
2023-03-15;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";334;980;6248;473
2023-03-15;0;"Deutschland";"FACHKLINIK";34;80;761;73
2023-03-15;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";357;708;6897;287
2023-03-15;0;"Deutschland";"nicht angegeben";6;17;162;14
2023-03-14;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";455;1304;6203;767
2023-03-14;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";333;1003;6184;473
2023-03-14;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";361;787;6823;286
2023-03-14;0;"Deutschland";"FACHKLINIK";35;93;745;72
2023-03-14;0;"Deutschland";"nicht angegeben";6;13;164;14
2023-03-13;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";326;1088;6051;472
2023-03-13;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";453;1405;6077;768
2023-03-13;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";344;839;6744;285
2023-03-13;0;"Deutschland";"FACHKLINIK";41;107;733;71
2023-03-13;0;"Deutschland";"nicht angegeben";6;9;168;14
2023-03-12;0;"Deutschland";"FACHKLINIK";41;102;721;72
2023-03-12;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";315;1102;6020;471
2023-03-12;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";327;826;6758;286
2023-03-12;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";434;1386;6036;769
2023-03-12;0;"Deutschland";"nicht angegeben";6;15;171;15
2023-03-11;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";315;1048;6054;469
2023-03-11;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";414;1360;6095;768
2023-03-11;0;"Deutschland";"FACHKLINIK";39;89;743;72
2023-03-11;0;"Deutschland";"nicht angegeben";3;14;172;15
2023-03-11;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";326;745;6911;288
2023-03-10;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";429;1294;6220;768
2023-03-10;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";315;977;6166;472
2023-03-10;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";324;748;6950;288
2023-03-10;0;"Deutschland";"FACHKLINIK";40;84;760;73
2023-03-10;0;"Deutschland";"nicht angegeben";8;14;172;15
2023-03-09;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";324;977;6202;469
2023-03-09;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";422;1323;6178;768
2023-03-09;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";329;786;6930;288
2023-03-09;0;"Deutschland";"FACHKLINIK";30;82;764;73
2023-03-09;0;"Deutschland";"nicht angegeben";11;13;173;15
2023-03-08;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";445;1299;6224;767
2023-03-08;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";322;1020;6185;470
2023-03-08;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";309;840;6879;288
2023-03-08;0;"Deutschland";"FACHKLINIK";24;75;763;73
2023-03-08;0;"Deutschland";"nicht angegeben";11;15;171;15
2023-03-07;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";330;1080;6153;471
2023-03-07;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";426;1392;6129;768
2023-03-07;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";292;810;6871;288
2023-03-07;0;"Deutschland";"FACHKLINIK";25;75;760;73
2023-03-07;0;"Deutschland";"nicht angegeben";12;11;175;15
2023-03-06;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";406;1496;5997;770
2023-03-06;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";319;1168;5965;469
2023-03-06;0;"Deutschland";"FACHKLINIK";27;93;729;73
2023-03-06;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";287;910;6754;290
2023-03-06;0;"Deutschland";"nicht angegeben";7;12;172;15
2023-03-05;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";309;1115;5988;474
2023-03-05;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";400;1494;5917;771
2023-03-05;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";286;822;6801;290
2023-03-05;0;"Deutschland";"FACHKLINIK";28;100;671;73
2023-03-05;0;"Deutschland";"nicht angegeben";6;20;164;15
2023-03-04;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";285;1098;6039;471
2023-03-04;0;"Deutschland";"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG";281;815;6852;290
2023-03-04;0;"Deutschland";"GRUND_UND_REGELVERSORGUNG";394;1444;6030;770
2023-03-04;0;"Deutschland";"nicht angegeben";6;16;168;15
2023-03-04;0;"Deutschland";"FACHKLINIK";29;80;695;73
2023-03-03;0;"Deutschland";"SCHWERPUNKTVERSORGUNG";286;1070;6116;471
