datum,bundesland_id,bundesland_name,versorgungsstufe,faelle_covid_aktuell,intensivbetten_betreibbar,anzahl_meldebereiche
2023-04-29,00,Deutschland,"nicht angegeben",3,179,15
2023-04-28,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",186,7205,745
2023-04-28,00,Deutschland,"SCHWERPUNKTVERSORGUNG",140,6942,460
2023-04-28,00,Deutschland,"FACHKLINIK",16,734,67
2023-04-28,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",175,7339,274
2023-04-28,00,Deutschland,"nicht angegeben",3,180,14
2023-04-27,00,Deutschland,"FACHKLINIK",14,732,67
2023-04-27,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",205,7285,743
2023-04-27,00,Deutschland,"SCHWERPUNKTVERSORGUNG",135,6963,461
2023-04-27,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",190,7331,276
2023-04-27,00,Deutschland,"nicht angegeben",1,182,14
2023-04-26,00,Deutschland,"SCHWERPUNKTVERSORGUNG",130,6939,461
2023-04-26,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",213,7341,744
2023-04-26,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",192,7335,278
2023-04-26,00,Deutschland,"FACHKLINIK",18,757,68
2023-04-26,00,Deutschland,"nicht angegeben",1,182,14
2023-04-25,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",194,7330,279
2023-04-25,00,Deutschland,"SCHWERPUNKTVERSORGUNG",153,6901,462
2023-04-25,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",223,7363,746
2023-04-25,00,Deutschland,"nicht angegeben",1,182,14
2023-04-25,00,Deutschland,"FACHKLINIK",18,757,68
2023-04-24,00,Deutschland,"SCHWERPUNKTVERSORGUNG",166,6858,462
2023-04-24,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",239,7324,747
2023-04-24,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",196,7287,278
2023-04-24,00,Deutschland,"FACHKLINIK",17,737,68
2023-04-24,00,Deutschland,"nicht angegeben",2,182,14
2023-04-23,00,Deutschland,"SCHWERPUNKTVERSORGUNG",164,6868,462
2023-04-23,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",196,7241,279
2023-04-23,00,Deutschland,"FACHKLINIK",14,724,67
2023-04-23,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",233,7251,748
2023-04-23,00,Deutschland,"nicht angegeben",2,179,14
2023-04-22,00,Deutschland,"SCHWERPUNKTVERSORGUNG",171,6897,463
2023-04-22,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",221,7267,750
2023-04-22,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",199,7277,277
2023-04-22,00,Deutschland,"FACHKLINIK",12,726,67
2023-04-22,00,Deutschland,"nicht angegeben",2,179,14
2023-04-21,00,Deutschland,"FACHKLINIK",12,734,67
2023-04-21,00,Deutschland,"SCHWERPUNKTVERSORGUNG",176,6899,462
2023-04-21,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",229,7326,748
2023-04-21,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",207,7344,279
2023-04-21,00,Deutschland,"nicht angegeben",2,178,14
2023-04-20,00,Deutschland,"SCHWERPUNKTVERSORGUNG",183,6907,462
2023-04-20,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",231,7355,752
2023-04-20,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",207,7367,278
2023-04-20,00,Deutschland,"FACHKLINIK",12,767,69
2023-04-20,00,Deutschland,"nicht angegeben",3,179,14
2023-04-19,00,Deutschland,"SCHWERPUNKTVERSORGUNG",194,6911,463
2023-04-19,00,Deutschland,"FACHKLINIK",13,769,70
2023-04-19,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",243,7346,751
2023-04-19,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",209,7384,279
2023-04-19,00,Deutschland,"nicht angegeben",3,181,14
2023-04-18,00,Deutschland,"SCHWERPUNKTVERSORGUNG",206,6889,463
2023-04-18,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",255,7337,751
2023-04-18,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",216,7345,277
2023-04-18,00,Deutschland,"FACHKLINIK",13,768,70
2023-04-18,00,Deutschland,"nicht angegeben",4,181,14
2023-04-17,00,Deutschland,"SCHWERPUNKTVERSORGUNG",216,6931,464
2023-04-17,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",255,7267,751
2023-04-17,00,Deutschland,"FACHKLINIK",14,761,70
2023-04-17,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",211,7312,280
2023-04-17,00,Deutschland,"nicht angegeben",4,181,14
2023-04-16,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",258,7219,752
2023-04-16,00,Deutschland,"SCHWERPUNKTVERSORGUNG",218,6927,465
2023-04-16,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",204,7252,279
2023-04-16,00,Deutschland,"FACHKLINIK",16,749,70
2023-04-16,00,Deutschland,"nicht angegeben",4,180,14
2023-04-15,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",271,7254,752
2023-04-15,00,Deutschland,"SCHWERPUNKTVERSORGUNG",225,6945,464
2023-04-15,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",194,7250,277
2023-04-15,00,Deutschland,"FACHKLINIK",16,754,69
2023-04-15,00,Deutschland,"nicht angegeben",3,180,14
2023-04-14,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",284,7263,753
2023-04-14,00,Deutschland,"SCHWERPUNKTVERSORGUNG",216,6928,463
2023-04-14,00,Deutschland,"FACHKLINIK",15,768,69
2023-04-14,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",201,7279,279
2023-04-14,00,Deutschland,"nicht angegeben",3,179,14
2023-04-13,00,Deutschland,"SCHWERPUNKTVERSORGUNG",220,6920,463
2023-04-13,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",296,7329,752
2023-04-13,00,Deutschland,"FACHKLINIK",16,764,69
2023-04-13,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",211,7341,279
2023-04-13,00,Deutschland,"nicht angegeben",2,179,14
2023-04-12,00,Deutschland,"SCHWERPUNKTVERSORGUNG",229,6971,464
2023-04-12,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",299,7352,754
2023-04-12,00,Deutschland,"FACHKLINIK",20,767,69
2023-04-12,00,Deutschland,"nicht angegeben",1,181,14
2023-04-12,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",218,7304,279
2023-04-11,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",315,7339,759
2023-04-11,00,Deutschland,"SCHWERPUNKTVERSORGUNG",247,6992,466
2023-04-11,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",224,7296,278
2023-04-11,00,Deutschland,"FACHKLINIK",18,762,69
2023-04-11,00,Deutschland,"nicht angegeben",4,181,14
2023-04-10,00,Deutschland,"SCHWERPUNKTVERSORGUNG",245,6987,466
2023-04-10,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",304,7287,757
2023-04-10,00,Deutschland,"FACHKLINIK",15,717,69
2023-04-10,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",231,7230,280
2023-04-10,00,Deutschland,"nicht angegeben",4,179,15
2023-04-09,00,Deutschland,"FACHKLINIK",15,758,68
2023-04-09,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",239,7180,278
2023-04-09,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",308,7327,754
2023-04-09,00,Deutschland,"SCHWERPUNKTVERSORGUNG",249,7031,466
2023-04-09,00,Deutschland,"nicht angegeben",6,179,15
2023-04-08,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",313,7358,757
2023-04-08,00,Deutschland,"SCHWERPUNKTVERSORGUNG",237,7060,466
2023-04-08,00,Deutschland,"nicht angegeben",6,180,15
2023-04-08,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",239,7215,276
2023-04-08,00,Deutschland,"FACHKLINIK",15,775,69
2023-04-07,00,Deutschland,"FACHKLINIK",14,797,70
2023-04-07,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",247,7239,277
2023-04-07,00,Deutschland,"SCHWERPUNKTVERSORGUNG",245,7024,465
2023-04-07,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",331,7365,754
2023-04-07,00,Deutschland,"nicht angegeben",6,180,15
2023-04-06,00,Deutschland,"SCHWERPUNKTVERSORGUNG",247,7080,468
2023-04-06,00,Deutschland,"FACHKLINIK",18,827,72
2023-04-06,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",361,7430,760
2023-04-06,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",252,7265,277
2023-04-06,00,Deutschland,"nicht angegeben",6,182,15
2023-04-05,00,Deutschland,"SCHWERPUNKTVERSORGUNG",259,7079,468
2023-04-05,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",370,7428,759
2023-04-05,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",271,7311,276
2023-04-05,00,Deutschland,"FACHKLINIK",22,831,72
2023-04-05,00,Deutschland,"nicht angegeben",8,184,15
2023-04-04,00,Deutschland,"SCHWERPUNKTVERSORGUNG",276,7115,470
2023-04-04,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",388,7479,762
2023-04-04,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",272,7372,282
2023-04-04,00,Deutschland,"nicht angegeben",7,184,15
2023-04-04,00,Deutschland,"FACHKLINIK",24,828,72
2023-04-03,00,Deutschland,"SCHWERPUNKTVERSORGUNG",284,7066,471
2023-04-03,00,Deutschland,"FACHKLINIK",22,829,72
2023-04-03,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",398,7427,763
2023-04-03,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",277,7389,282
2023-04-03,00,Deutschland,"nicht angegeben",6,177,15
2023-04-02,00,Deutschland,"SCHWERPUNKTVERSORGUNG",304,7023,471
2023-04-02,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",407,7379,762
2023-04-02,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",293,7433,284
2023-04-02,00,Deutschland,"FACHKLINIK",22,804,72
2023-04-02,00,Deutschland,"nicht angegeben",9,181,14
2023-04-01,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",417,7441,764
2023-04-01,00,Deutschland,"SCHWERPUNKTVERSORGUNG",310,7082,469
2023-04-01,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",295,7529,285
2023-04-01,00,Deutschland,"nicht angegeben",9,181,14
2023-04-01,00,Deutschland,"FACHKLINIK",20,794,71
2023-03-31,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",408,7506,766
2023-03-31,00,Deutschland,"SCHWERPUNKTVERSORGUNG",306,7127,469
2023-03-31,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",321,7595,283
2023-03-31,00,Deutschland,"FACHKLINIK",21,814,72
2023-03-31,00,Deutschland,"nicht angegeben",8,181,14
2023-03-30,00,Deutschland,"SCHWERPUNKTVERSORGUNG",309,7198,468
2023-03-30,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",400,7522,765
2023-03-30,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",324,7617,284
2023-03-30,00,Deutschland,"FACHKLINIK",22,816,71
2023-03-30,00,Deutschland,"nicht angegeben",7,181,14
2023-03-29,00,Deutschland,"SCHWERPUNKTVERSORGUNG",314,7189,470
2023-03-29,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",325,7602,284
2023-03-29,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",411,7546,765
2023-03-29,00,Deutschland,"FACHKLINIK",23,801,71
2023-03-29,00,Deutschland,"nicht angegeben",6,181,14
2023-03-28,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",428,7509,764
2023-03-28,00,Deutschland,"SCHWERPUNKTVERSORGUNG",338,7148,466
2023-03-28,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",325,7623,284
2023-03-28,00,Deutschland,"FACHKLINIK",26,794,70
2023-03-28,00,Deutschland,"nicht angegeben",5,181,14
2023-03-27,00,Deutschland,"SCHWERPUNKTVERSORGUNG",335,7120,468
2023-03-27,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",465,7406,765
2023-03-27,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",331,7574,285
2023-03-27,00,Deutschland,"FACHKLINIK",34,796,69
2023-03-27,00,Deutschland,"nicht angegeben",8,181,14
2023-03-26,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",432,7330,765
2023-03-26,00,Deutschland,"SCHWERPUNKTVERSORGUNG",323,7089,470
2023-03-26,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",350,7519,286
2023-03-26,00,Deutschland,"FACHKLINIK",35,808,72
2023-03-26,00,Deutschland,"nicht angegeben",7,178,14
2023-03-25,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",441,7363,765
2023-03-25,00,Deutschland,"SCHWERPUNKTVERSORGUNG",339,7113,470
2023-03-25,00,Deutschland,"FACHKLINIK",37,816,72
2023-03-25,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",352,7560,284
2023-03-25,00,Deutschland,"nicht angegeben",7,178,14
2023-03-24,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",440,7425,764
2023-03-24,00,Deutschland,"SCHWERPUNKTVERSORGUNG",346,7123,469
2023-03-24,00,Deutschland,"FACHKLINIK",36,839,72
2023-03-24,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",364,7579,284
2023-03-24,00,Deutschland,"nicht angegeben",4,179,14
2023-03-23,00,Deutschland,"SCHWERPUNKTVERSORGUNG",363,7143,471
2023-03-23,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",361,7602,285
2023-03-23,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",462,7503,765
2023-03-23,00,Deutschland,"FACHKLINIK",35,840,72
2023-03-23,00,Deutschland,"nicht angegeben",3,179,14
2023-03-22,00,Deutschland,"SCHWERPUNKTVERSORGUNG",382,7155,470
2023-03-22,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",466,7500,765
2023-03-22,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",351,7636,285
2023-03-22,00,Deutschland,"FACHKLINIK",36,846,72
2023-03-22,00,Deutschland,"nicht angegeben",4,181,14
2023-03-21,00,Deutschland,"SCHWERPUNKTVERSORGUNG",401,7130,471
2023-03-21,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",496,7494,766
2023-03-21,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",345,7639,285
2023-03-21,00,Deutschland,"FACHKLINIK",34,844,72
2023-03-21,00,Deutschland,"nicht angegeben",5,180,14
2023-03-20,00,Deutschland,"SCHWERPUNKTVERSORGUNG",377,7166,472
2023-03-20,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",478,7471,765
2023-03-20,00,Deutschland,"FACHKLINIK",35,838,72
2023-03-20,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",326,7586,285
2023-03-20,00,Deutschland,"nicht angegeben",5,177,14
2023-03-19,00,Deutschland,"SCHWERPUNKTVERSORGUNG",372,7091,473
2023-03-19,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",469,7369,765
2023-03-19,00,Deutschland,"FACHKLINIK",34,817,72
2023-03-19,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",330,7521,286
2023-03-19,00,Deutschland,"nicht angegeben",5,177,14
2023-03-18,00,Deutschland,"SCHWERPUNKTVERSORGUNG",377,7148,473
2023-03-18,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",455,7442,766
2023-03-18,00,Deutschland,"nicht angegeben",5,177,14
2023-03-18,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",338,7576,287
2023-03-18,00,Deutschland,"FACHKLINIK",36,818,72
2023-03-17,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",466,7490,767
2023-03-17,00,Deutschland,"SCHWERPUNKTVERSORGUNG",374,7190,473
2023-03-17,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",343,7591,287
2023-03-17,00,Deutschland,"FACHKLINIK",36,840,72
2023-03-17,00,Deutschland,"nicht angegeben",5,178,14
2023-03-16,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",492,7538,767
2023-03-16,00,Deutschland,"nicht angegeben",4,180,14
2023-03-16,00,Deutschland,"SCHWERPUNKTVERSORGUNG",337,7220,473
2023-03-16,00,Deutschland,"FACHKLINIK",35,843,72
2023-03-16,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",351,7633,287
2023-03-15,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",465,7526,766
2023-03-15,00,Deutschland,"SCHWERPUNKTVERSORGUNG",334,7228,473
2023-03-15,00,Deutschland,"FACHKLINIK",34,841,73
2023-03-15,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",357,7605,287
2023-03-15,00,Deutschland,"nicht angegeben",6,179,14
2023-03-14,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",455,7507,767
2023-03-14,00,Deutschland,"SCHWERPUNKTVERSORGUNG",333,7187,473
2023-03-14,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",361,7610,286
2023-03-14,00,Deutschland,"FACHKLINIK",35,838,72
2023-03-14,00,Deutschland,"nicht angegeben",6,177,14
2023-03-13,00,Deutschland,"SCHWERPUNKTVERSORGUNG",326,7139,472
2023-03-13,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",453,7482,768
2023-03-13,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",344,7583,285
2023-03-13,00,Deutschland,"FACHKLINIK",41,840,71
2023-03-13,00,Deutschland,"nicht angegeben",6,177,14
2023-03-12,00,Deutschland,"FACHKLINIK",41,823,72
2023-03-12,00,Deutschland,"SCHWERPUNKTVERSORGUNG",315,7122,471
2023-03-12,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",327,7584,286
2023-03-12,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",434,7422,769
2023-03-12,00,Deutschland,"nicht angegeben",6,186,15
2023-03-11,00,Deutschland,"SCHWERPUNKTVERSORGUNG",315,7102,469
2023-03-11,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",414,7455,768
2023-03-11,00,Deutschland,"FACHKLINIK",39,832,72
2023-03-11,00,Deutschland,"nicht angegeben",3,186,15
2023-03-11,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",326,7656,288
2023-03-10,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",429,7514,768
2023-03-10,00,Deutschland,"SCHWERPUNKTVERSORGUNG",315,7143,472
2023-03-10,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",324,7698,288
2023-03-10,00,Deutschland,"FACHKLINIK",40,844,73
2023-03-10,00,Deutschland,"nicht angegeben",8,186,15
2023-03-09,00,Deutschland,"SCHWERPUNKTVERSORGUNG",324,7179,469
2023-03-09,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",422,7501,768
2023-03-09,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",329,7716,288
2023-03-09,00,Deutschland,"FACHKLINIK",30,846,73
2023-03-09,00,Deutschland,"nicht angegeben",11,186,15
2023-03-08,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",445,7523,767
2023-03-08,00,Deutschland,"SCHWERPUNKTVERSORGUNG",322,7205,470
2023-03-08,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",309,7719,288
2023-03-08,00,Deutschland,"FACHKLINIK",24,838,73
2023-03-08,00,Deutschland,"nicht angegeben",11,186,15
2023-03-07,00,Deutschland,"SCHWERPUNKTVERSORGUNG",330,7233,471
2023-03-07,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",426,7521,768
2023-03-07,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",292,7681,288
2023-03-07,00,Deutschland,"FACHKLINIK",25,835,73
2023-03-07,00,Deutschland,"nicht angegeben",12,186,15
2023-03-06,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",406,7493,770
2023-03-06,00,Deutschland,"SCHWERPUNKTVERSORGUNG",319,7133,469
2023-03-06,00,Deutschland,"FACHKLINIK",27,822,73
2023-03-06,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",287,7664,290
2023-03-06,00,Deutschland,"nicht angegeben",7,184,15
2023-03-05,00,Deutschland,"SCHWERPUNKTVERSORGUNG",309,7103,474
2023-03-05,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",400,7411,771
2023-03-05,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",286,7623,290
2023-03-05,00,Deutschland,"FACHKLINIK",28,771,73
2023-03-05,00,Deutschland,"nicht angegeben",6,184,15
2023-03-04,00,Deutschland,"SCHWERPUNKTVERSORGUNG",285,7137,471
2023-03-04,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",281,7667,290
2023-03-04,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",394,7474,770
2023-03-04,00,Deutschland,"nicht angegeben",6,184,15
2023-03-04,00,Deutschland,"FACHKLINIK",29,775,73
2023-03-03,00,Deutschland,"SCHWERPUNKTVERSORGUNG",286,7186,471
2023-03-03,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",410,7549,772
2023-03-03,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",275,7675,289
2023-03-03,00,Deutschland,"FACHKLINIK",27,791,73
2023-03-03,00,Deutschland,"nicht angegeben",4,187,15
2023-03-02,00,Deutschland,"SCHWERPUNKTVERSORGUNG",297,7190,472
2023-03-02,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",265,7824,290
2023-03-02,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",407,7569,772
2023-03-02,00,Deutschland,"nicht angegeben",3,187,15
2023-03-02,00,Deutschland,"FACHKLINIK",27,790,73
2023-03-01,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",400,7544,772
2023-03-01,00,Deutschland,"SCHWERPUNKTVERSORGUNG",309,7187,471
2023-03-01,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",292,7860,290
2023-03-01,00,Deutschland,"FACHKLINIK",30,829,74
2023-03-01,00,Deutschland,"nicht angegeben",3,187,15
2023-02-28,00,Deutschland,"SCHWERPUNKTVERSORGUNG",299,7245,473
2023-02-28,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",418,7542,772
2023-02-28,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",305,7874,291
2023-02-28,00,Deutschland,"FACHKLINIK",27,822,74
2023-02-28,00,Deutschland,"nicht angegeben",2,185,15
2023-02-27,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",425,7504,771
2023-02-27,00,Deutschland,"SCHWERPUNKTVERSORGUNG",299,7199,472
2023-02-27,00,Deutschland,"UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG",297,7809,292
2023-02-27,00,Deutschland,"FACHKLINIK",29,828,74
2023-02-27,00,Deutschland,"nicht angegeben",2,187,15
2023-02-26,00,Deutschland,"GRUND_UND_REGELVERSORGUNG",431,7420,771
2023-02-26,00,Deutschland,"SCHWERPUNKTVERSORGUNG",281,7146,472
